file,one_qubit_gates,two_qubit_gates
4392466_20_4_0_25_lightning_qubit.qasm,452,384
4392466_20_4_0_375_lightning_qubit.qasm,580,640
4392466_20_4_0_5_lightning_qubit.qasm,668,816
4392466_20_64_0_125_lightning_qubit.qasm,5524,3328
4392466_20_64_0_25_lightning_qubit.qasm,7124,6528
4392466_20_64_0_375_lightning_qubit.qasm,9044,10368
4392466_20_64_0_5_lightning_qubit.qasm,9684,11648
4392466_24_1_0_125_lightning_qubit.qasm,137,82
4392466_24_1_0_25_lightning_qubit.qasm,173,154
4392466_24_1_0_375_lightning_qubit.qasm,199,206
4392466_24_1_0_5_lightning_qubit.qasm,209,226
4392466_24_16_0_125_lightning_qubit.qasm,1704,1056
4392466_24_16_0_25_lightning_qubit.qasm,2264,2176
4392466_24_16_0_375_lightning_qubit.qasm,2840,3328
4392466_24_16_0_5_lightning_qubit.qasm,3448,4544
4392466_24_4_0_125_lightning_qubit.qasm,424,224
4392466_24_4_0_25_lightning_qubit.qasm,620,616
4392466_24_4_0_375_lightning_qubit.qasm,696,768
4392466_24_4_0_5_lightning_qubit.qasm,912,1200
4392466_24_64_0_125_lightning_qubit.qasm,7064,4864
4392466_24_64_0_25_lightning_qubit.qasm,9176,9088
4392466_24_64_0_375_lightning_qubit.qasm,11096,12928
4392466_24_64_0_5_lightning_qubit.qasm,14104,18944
4392467_10_1_0_125_lightning_qubit.qasm,46,12
4392467_10_1_0_25_lightning_qubit.qasm,52,24
4392467_10_1_0_375_lightning_qubit.qasm,55,30
4392467_10_1_0_5_lightning_qubit.qasm,62,44
4392467_10_16_0_125_lightning_qubit.qasm,586,192
4392467_10_16_0_25_lightning_qubit.qasm,714,448
4392467_10_16_0_375_lightning_qubit.qasm,714,448
4392467_10_16_0_5_lightning_qubit.qasm,826,672
4392467_10_4_0_125_lightning_qubit.qasm,158,56
4392467_10_4_0_25_lightning_qubit.qasm,162,64
4392467_10_4_0_375_lightning_qubit.qasm,202,144
